,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
LU0 0 X Store,17.186,38.308,47.301,52.481,57.829,40.652,0.007,0.057,47.194,45.275,28.784,0.043,0.009,0.614,8.671,0.079,38.442,0.151,15.822,23.968,0.094,3.462,77.394,33.251,30.185,0.098,61.288,0.164,0.033,0.022,0.031,83.09,0.012
LV6 0 X Store,0.007,0.007,0.013,0.019,0.014,0.008,0.004,0.005,0.012,0.02,0.008,0.04,0.009,0.265,0.148,0.098,1.773,0.254,0.18,0.036,0.099,0.238,5.951,0.164,0.241,0.095,0.43,0.173,0.032,0.023,0.031,10.244,0.028
ME0 0 X Store,0.004,0.004,0.005,0.005,0.004,0.004,0.004,0.004,0.005,0.006,0.005,0.035,0.008,0.077,0.007,0.049,0.12,0.065,0.063,0.013,0.069,0.082,0.066,0.008,0.089,0.01,0.022,0.08,0.03,0.007,0.008,0.085,0.006
MK0 0 X Store,0.004,0.004,0.005,0.007,0.006,0.004,0.004,0.004,0.005,0.007,0.005,0.036,0.008,0.584,0.013,0.052,0.656,0.109,6.639,11.295,0.07,3.453,6.264,0.021,13.05,0.012,0.778,0.083,0.03,0.019,0.009,5.169,0.008
NL0 0 X Store,0.02,88.163,238.93,380.013,423.434,178.332,0.005,0.008,221.207,298.051,0.066,0.061,0.01,302.848,501.995,0.164,729.608,3.296,700.337,867.236,0.137,500.96,1321.441,635.454,968.331,278.738,1040.76,0.481,0.04,129.775,30.673,1422.314,0.039
NO3 0 X Store,0.004,0.003,0.004,0.004,0.003,0.003,0.003,0.004,0.004,0.004,0.004,0.033,0.007,0.053,0.006,0.046,0.07,0.058,0.034,0.007,0.064,0.045,0.01,0.006,0.045,0.009,0.007,0.074,0.028,0.005,0.007,0.01,0.006
PL0 0 X Store,0.009,0.015,0.099,28.908,32.209,0.026,0.005,0.006,0.047,15.635,0.013,0.042,0.01,31.836,293.403,0.123,515.961,5.247,160.482,234.265,0.112,73.017,790.597,393.077,244.4,93.692,653.368,0.248,0.032,17.58,0.063,919.457,0.183
PT0 0 X Store,0.011,0.03,19.16,22.769,32.951,1.245,0.004,0.006,10.189,19.7,0.019,0.04,0.009,0.478,0.146,0.078,1.414,0.241,0.258,0.045,0.089,0.433,0.108,0.138,0.3,0.086,0.101,0.169,0.032,0.046,0.029,0.111,0.015
RO0 0 X Store,0.005,0.004,0.005,0.009,0.009,0.004,0.004,0.004,0.006,0.009,0.005,0.035,0.008,0.151,0.01,0.05,0.251,0.076,0.111,0.02,0.069,0.18,0.03,0.014,0.144,0.011,0.027,0.081,0.03,0.01,0.008,0.032,0.007
RS0 0 X Store,0.004,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.005,0.006,0.005,0.035,0.008,0.293,0.015,0.05,1.33,0.097,0.2,0.024,0.069,0.388,0.034,0.026,0.131,0.013,0.059,0.081,0.03,0.015,0.009,0.029,0.008
SE3 0 X Store,0.004,0.003,0.005,0.005,0.003,0.004,0.004,0.004,0.005,0.006,0.005,0.038,0.008,0.178,0.023,0.095,0.288,0.168,0.153,0.043,0.078,0.168,0.041,0.019,0.315,0.027,0.035,0.121,0.03,0.016,0.018,0.046,0.021
SI0 0 X Store,0.004,0.004,0.005,0.006,0.005,0.004,0.004,0.004,0.005,0.006,0.005,0.035,0.008,0.093,0.008,0.048,0.138,0.065,0.088,0.026,0.067,0.118,1.35,0.009,0.211,0.01,0.025,0.078,0.029,0.008,0.008,5.69,0.006
SK0 0 X Store,0.005,0.005,0.007,0.008,0.006,0.006,0.004,0.004,0.007,0.009,0.006,0.035,0.008,0.075,0.014,0.049,0.277,0.066,0.072,0.029,0.073,0.077,11.347,0.018,1.724,0.016,0.187,0.092,0.029,0.007,0.011,16.284,0.006
AL0 0 X Discharge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.011,0.001,0.001,0.023,0.004,0.242,0.503,0.001,0.023,0.2,0.001,0.441,0.001,0.005,0.002,0.0,0.001,0.0,0.368,0.0
